0.246695389	0.146879211	0.089023065	0.050269132	0.0158873	0.004143598	0.000543783	0	0	0	0.167543129	0.152607836	0.097580375	0.038977242	0.003515974	0.001539183	0	0	0	0	0.438584242	0.734733667	0.664197487	0.31482757	0.106495642	0.020674435	0.001956227	0	0	0	0.463571585	0.778958377	1.056408853	1.064764927	0.702726543	0.242914412	0.026323368	0.008366164	0.006106128	0	0.456132693	0.827059212	1.014877318	1.120725555	1.191840609	1.001710501	0.3889373	0.064562836	0.010979143	0.006364879	0.439102349	0.759994832	1.05923131	1.079913015	1.237323661	1.119624955	1.120004926	0.538975536	0.111563429	0.007734524
0.211464799	0.193511094	0.076084098	0.039571551	0.001823678	0.013648224	0	0	0	0	0.183648802	0.131682659	0.082408074	0.027984737	0.006392226	0	0	0	0	0	0.440471041	0.682032802	0.578553457	0.319372784	0.128397694	0.015950435	0.008185979	0.000672761	0	0	0.457745574	0.748425395	0.988631958	1.096427993	0.690486324	0.248433175	0.044828674	0.006666205	0.000870789	0.001263767	0.475335892	0.779225816	1.008640983	1.058780025	1.196684821	0.992213142	0.403905975	0.060629166	0.00941167	0.002666704	0.420060412	0.808994186	1.001230968	1.187314427	1.152812091	1.16914631	1.020210919	0.579934932	0.116596024	0.019530089
0.205014605	0.179018183	0.110859561	0.043741823	0.005710673	0.001507215	0	0	0	0	0.152929467	0.136215154	0.078159511	0.028624274	0.002222045	0	0.003973534	0	0	0	0.442427236	0.646391655	0.609789621	0.268455006	0.07632832	0.022169418	0.00988329	0	0	0	0.477014321	0.799936173	1.046293002	1.027175835	0.775782907	0.195833392	0.043798327	0.008430602	0	0	0.452192107	0.820764847	1.026001011	1.179815044	1.196514418	1.030286083	0.314041418	0.078201876	0.011011798	0	0.462286874	0.823460221	1.035971026	1.155020472	1.160573259	1.110509797	0.988331182	0.598141925	0.115522977	0.016661424
0.202658078	0.194412684	0.060086096	0.041431274	0.021131554	0	0	0	0	0	0.147451346	0.142876797	0.086418006	0.04703089	0.003919721	0.004866428	0	0	0	0	0.466635672	0.736129826	0.596130698	0.289563731	0.07398802	0.029374251	0.000692565	0	0	0	0.490735555	0.808031521	1.076485089	1.03486337	0.701350901	0.219630378	0.046435783	0.005657559	0	0	0.488613953	0.770000282	0.99544202	1.098468332	1.156016246	0.991203982	0.385658314	0.088468723	0.009789566	0.007955376	0.43975879	0.882957922	1.038255664	1.163502298	1.048478635	1.138687653	1.032523434	0.578065492	0.106381629	0.014087174
0.216401353	0.148842277	0.068837081	0.035791357	0.011900696	0.004639114	0	0.000271859	0	0	0.170997927	0.154720702	0.091533799	0.037833981	0.005933774	0	0	0	0	0	0.452779478	0.780340701	0.570486221	0.258729897	0.120836281	0.020046749	0.003021553	0	0	0	0.448977223	0.862183966	1.009722151	1.072498606	0.639743281	0.185049661	0.034795807	0.005858134	0.000248464	0	0.463203831	0.813891101	1.01738281	1.216860249	1.155155533	0.990345197	0.342884946	0.108338011	0.012322898	0.003447562	0.437860406	0.807066312	1.01797044	1.08709237	1.179024056	1.118921853	1.025209848	0.599641385	0.105203756	0.014379363
0.211464799	0.179018183	0.076084098	0.041431274	0.011900696	0.004143598	0	0	0	0	0.167543129	0.142876797	0.086418006	0.037833981	0.003919721	0	0	0	0	0	0.442427236	0.734733667	0.596130698	0.289563731	0.106495642	0.020674435	0.003021553	0	0	0	0.463571585	0.799936173	1.046293002	1.064764927	0.701350901	0.219630378	0.043798327	0.006666205	0.000248464	0	0.463203831	0.813891101	1.014877318	1.120725555	1.191840609	0.992213142	0.385658314	0.078201876	0.010979143	0.003447562	0.439102349	0.808994186	1.035971026	1.155020472	1.160573259	1.119624955	1.025209848	0.579934932	0.111563429	0.014379363
0.03523059	0.015394501	0.034775463	0.008837858	0.009230858	0.009504627	0.000543783	0.000271859	0	0	0.016105673	0.011843905	0.011162369	0.009196909	0.002472505	0.004866428	0.003973534	0	0	0	0.024208436	0.045607035	0.068066789	0.029809053	0.021902052	0.008699815	0.006861737	0.000672761	0	0	0.02716397	0.062247793	0.030192088	0.031663066	0.074432007	0.028802798	0.002637457	0.001764397	0.005857664	0.001263767	0.025410122	0.013168111	0.011123694	0.096134694	0.004844212	0.038072941	0.018247661	0.030136135	0.001343755	0.004507814	0.023184525	0.073963736	0.023260284	0.032293955	0.076750402	0.049521354	0.094795078	0.019706452	0.005032595	0.005150726
0.008806721	0.032138972	0.015998001	0.005639918	0.010077018	0.004143598	0	0	0	0	0.020091782	0.011194137	0.008258495	0.009849244	0.001697676	0	0	0	0	0	0.003842994	0.088342012	0.025644477	0.030833834	0.032507622	0.004724	0.002328989	0	0	0	0.014594362	0.051510778	0.057661043	0.037589092	0.06160762	0.034580716	0.017474959	0.001008646	0.000248464	0	0.011011723	0.043890819	0.019435298	0.06194553	0.036685076	0.001867945	0.071616896	0.01757271	0.001567473	0.003447562	0.019041938	0.048999354	0.034740058	0.075107457	0.112094624	0.009115158	0.036878666	0.040959396	0.006359673	0.006644839
																																																											
																																																											
															0																																												
															1																																												
															2																																												
															3																																												
															4																																												
															5																																												
															6																																												
															7																																												
															8																																												
															9																																												
